basque,english,context
talka,collision,Technological Sciences > Environmental technology and engineering
talka,collision,Technological Sciences > Computer technology
talka,collision,Physics > Electro-magnetism
talka,collision,Earth and Space Sciences > Geology
talka,collision,Physics > General Physics specialities
talka,percussion,Medical Sciences > Pharmaceutical Technology
talka,collision,Physics > Mechanics
talka,collision; impact,Physics > Aplied Physics
tanta hotz,cold shot,Technological Sciences > Environmental technology and engineering
tanta hotz,cold drop,Earth and Space Sciences > Metereology and Oceanography
tarte terapeutiko,therapeutic range,Medical Sciences > Pharmacology
tarte terapeutiko,therapeutic index,Medical Sciences > Microbiology
Taylor-en garapen,Taylor series; Taylor series expansion; Taylor's expansion; Taylor's series,Mathematics > Analysis and functional analysis
Taylor-en garapen,Taylor expansion,Physics > General Physics specialities
tenperatura-aldaketa,temperature change,Medical Sciences > Pharmaceutical Technology
tenperatura-aldaketa,temperature increment,Chemistry > Physical chemistry
tentsio,tension,Technological Sciences > Environmental technology and engineering
tentsio,potential; voltage,Life sciences > Animal Biology
tentsio,potential difference; tension; voltage,Physics > Electro-magnetism
tentsio,potential difference; voltage,Technological Sciences > Electronic technology
tentsio,tension,Physics > Aplied Physics
tentsio,tension,Medical Sciences > Pharmaceutical Technology
tentsio,voltage; tension,Physics > General Physics specialities
tentsio,potential difference; voltage,Technological Sciences > Electrical technology and engineering
tentsio,tension,Physics > Mechanics
tentsio,stress; tension,Technological Sciences > Construction technology
tentsio,tension,Medical Sciences > Pharmacology
tentsio onargarri,allowable stress,Technological Sciences > Construction technology
tentsio onargarri,permissible voltage,Technological Sciences > Electrical technology and engineering
terapia,therapy; treatment,Medical Sciences > Dentistry
terapia,therapy,Medical Sciences > Pharmacology
terapia,therapy,Medical Sciences > Pharmaceutical Technology
tindalizazio,tindalization,Medical Sciences > Microbiology
tindalizazio,tyndallization,Life sciences > Microbiology
tindatzaile,colourant,Life sciences > Cell biology
tindatzaile,dye,Life sciences > Microbiology
tindatzaile,dye,Medical Sciences > Microbiology
tolestura,fold,Life sciences > Cell biology
tolestura,folding,Technological Sciences > Environmental technology and engineering
tolestura,folding,Life sciences > Biochemistry and Molecular Biology
tolestura,folding,Earth and Space Sciences > Geology
tolestura,fold,Technological Sciences > Mechanical engineering and technology
tortsio,torsion,Technological Sciences > Environmental technology and engineering
tortsio,torsion,Physics > Aplied Physics
tortsio,torsion,Physics > Electro-magnetism
tortsio,torque,Technological Sciences > Electrical technology and engineering
tortsio,torsion,Technological Sciences > Mechanical engineering and technology
tortsio,torsion,Technological Sciences > Construction technology
trakea,windpipe,Life sciences > Cell biology
trakea,trachea,Life sciences > Human physiology
trakea,trachea,Life sciences > Animal Biology
translazio-higidura,translation,Physics > Mechanics
translazio-higidura,translation motion,Technological Sciences > Construction technology
translazio-higidura,translation motion,Technological Sciences > Mechanical engineering and technology
translazio-higidura,translation,Physics > Aplied Physics
transmisio,transmission,Physics > Electro-magnetism
transmisio,transmision,Physics > Optics
transmisio,emission,Technological Sciences > Telecommunications technology
transmisio,transmission,Technological Sciences > Instrumentation technology
transmisio,transmission,Physics > General Physics specialities
transmisio-abiadura,transmission speed,Medical Sciences > Medical diagnostic and Treatment Technology
transmisio-abiadura,transmission velocity,Earth and Space Sciences > Geology
transmisio-abiadura,transmission speed,Technological Sciences > Instrumentation technology
transmisio-abiadura,rate of transmission; transmission rate,Technological Sciences > Telecommunications technology
transmisio-ardatz,dumb-bell shaft; spacer shaft,Technological Sciences > Electrical technology and engineering
transmisio-ardatz,drive shaft,Technological Sciences > Mechanical engineering and technology
transmisio-ardatz,transmission axis,Physics > Electro-magnetism
transmisio-bide,transmission route,Life sciences > Microbiology
transmisio-bide,transmission mode; transmission route,Medical Sciences > Microbiology
transmisio-bide,transmission mechanism,Medical Sciences > Public health
transmisio-bide,transmission medium,Technological Sciences > Telecommunications technology
transmisio-bide,transmission media,Technological Sciences > Instrumentation technology
tratamendu,treatment,Medical Sciences > Pharmacology
tratamendu,processing; treatment,Technological Sciences > Computer technology
tratamendu,therapy; treatment,Medical Sciences > Dentistry
tratamendu,treatment,Chemistry > Analytical chemistry
tratamendu,treatment,Technological Sciences > Environmental technology and engineering
tratamendu,treatment,Chemistry > Physical chemistry
tratamendu,treatment,Medical Sciences > Pharmaceutical Technology
tratamendu termiko,thermal treatment,Technological Sciences > Environmental technology and engineering
tratamendu termiko,thermal treatment,Technological Sciences > Food technology
tratamendu termiko,heat treatment,Life sciences > Microbiology
tratamendu termiko,heat treatment,Technological Sciences > Mechanical engineering and technology
trenkada,septum,Life sciences > Cell biology
trenkada,partition,Technological Sciences > Construction technology
tresna,device,Technological Sciences > Instrumentation technology
tresna,tool,Technological Sciences > Mechanical engineering and technology
tresna,apparatus; device,Technological Sciences > Electrical technology and engineering
tresna,device,Physics > Aplied Physics
tresna,equipment,Chemistry > Physical chemistry
tresneria,switchgear; switchgear and controlgear,Technological Sciences > Electrical technology and engineering
tresneria,tooling,Technological Sciences > Mechanical engineering and technology
triangelu,triangle,Mathematics > Analysis and functional analysis
triangelu,triangle,Technological Sciences > Mechanical engineering and technology
triangelu,triangle,Technological Sciences > Construction technology
triangelu,delta,Technological Sciences > Electrical technology and engineering
trinkotasun,compaction,Technological Sciences > Environmental technology and engineering
trinkotasun,compactness,Mathematics > Topology
trinkotasun,consistency,Medical Sciences > Pharmaceutical Technology
trukatzaile,currency trader; money changer,Economic Sciences > General economics
trukatzaile,commutator,Physics > Theoretical physics
trukatzaile,exchanger,Chemistry > Analytical chemistry
trukatzaile,conmutator,Physics > Thermodynamics
tutu,conduit; duct; pipe,Technological Sciences > Electrical technology and engineering
tutu,pipe,Technological Sciences > Mechanical engineering and technology
tutu,tube,Medical Sciences > Pharmaceutical Technology
tutu,pipe,Technological Sciences > Environmental technology and engineering
txabeta,key,Technological Sciences > Electrical technology and engineering
txabeta,taper key,Technological Sciences > Mechanical engineering and technology
txabeta,cotter; key,Technological Sciences > Industrial technology
txantiloi,gauge; pattern,Technological Sciences > Industrial technology
txantiloi,pattern; template,Technological Sciences > Mechanical engineering and technology
txantiloi,template,Technological Sciences > Computer technology
txantiloi,template,Technological Sciences > Environmental technology and engineering
txantiloi,template,Technological Sciences > Projects
txeke,bank check; check,Economic Sciences > Organization and management of enterprises
txeke,check,Economic Sciences > General economics
tximinia,chimney; neck; smokestack,Technological Sciences > Environmental technology and engineering
tximinia,conduit,Earth and Space Sciences > Geology
tximinia,chimney,Technological Sciences > Chemical technology and engineering
txingor,hail,Earth and Space Sciences > Metereology and Oceanography
txingor,hailstone,Technological Sciences > Environmental technology and engineering
txosten,report,Technological Sciences > Projects
txosten,inform,Medical Sciences > Pharmacology
txosten,report,Technological Sciences > Instrumentation technology
txosten,report,Medical Sciences > Pharmaceutical Technology
ubide,channel; waterway,Physics > Fluids (physics of)
ubide,canal; channel,Technological Sciences > Environmental technology and engineering
ubide,canal,Earth and Space Sciences > Geology
uhin lau,flat wave,Physics > Optics
uhin lau,plane wave,Physics > General Physics specialities
uhin lau,plane wave,Physics > Electro-magnetism
uhin sinusoidal,sine wave,Physics > General Physics specialities
uhin sinusoidal,sinusoidal wave,Technological Sciences > Electrical technology and engineering
uhin sinusoidal,sinusoidal wave,Physics > Electro-magnetism
uhin-fronte,wavefront,Physics > Aplied Physics
uhin-fronte,wave front,Technological Sciences > Telecommunications technology
uhin-fronte,wave front,Physics > Optics
uhin-fronte,wavefront,Physics > General Physics specialities
uhin-fronte,wave front; wavefront,Physics > Electro-magnetism
uhin-luzera,wavelength,Earth and Space Sciences > Geology
uhin-luzera,wavelength,Physics > General Physics specialities
uhin-luzera,wavelength,Medical Sciences > Pharmaceutical Technology
uhin-luzera,wave length; wavelength,Technological Sciences > Telecommunications technology
uhin-luzera,wavelength,Physics > Aplied Physics
